date,asset_id,region,segment,revenue_usd,cost_usd,margin_usd,margin_pct,revenue_per_boe_usd
2024-01-03,AST026,Americas,Integrated Gas,4989924.13,2384559.53,2605364.6,52.21,80.14
2024-01-03,AST027,Europe,Upstream Gas,6631724.42,2473893.38,4157831.04,62.7,82.5
2024-01-03,AST028,Asia Pacific,Upstream Oil,6282560.13,3796671.62,2485888.51,39.57,77.78
2024-01-04,AST001,Americas,Upstream Oil,2899193.74,1762296.9,1136896.84,39.21,79.85
2024-01-04,AST003,Asia Pacific,Upstream Gas,3099655.51,1394428.73,1705226.78,55.01,77.5
2024-01-04,AST004,Middle East,Upstream Oil,4576875.04,2186129.21,2390745.83,52.24,73.58
2024-01-04,AST005,Africa,Integrated Gas,3711247.36,1657539.98,2053707.39,55.34,79.06
2024-01-04,AST007,Europe,Upstream Oil,6043478.24,2145398.46,3898079.78,64.5,82.19
2024-01-04,AST010,Africa,Upstream Oil,2433078.61,1035170.6,1397908.01,57.45,79.06
2024-01-04,AST011,Americas,Integrated Gas,6296624.02,3631391.58,2665232.44,42.33,79.85
2024-01-04,AST012,Europe,Upstream Gas,4506532.63,2605694.13,1900838.5,42.18,82.19
2024-01-04,AST016,Americas,Upstream Oil,3001236.41,1339781.29,1661455.12,55.36,79.85
2024-01-04,AST018,Asia Pacific,Upstream Gas,5851503.58,3230928.94,2620574.64,44.78,77.5
2024-01-04,AST024,Middle East,Upstream Gas,3356865.58,1649002.46,1707863.12,50.88,73.58
2024-01-04,AST025,Africa,Upstream Oil,4233101.37,1854530.48,2378570.89,56.19,79.06
2024-01-04,AST027,Europe,Upstream Gas,6799498.65,2753790.07,4045708.58,59.5,82.19
2024-01-04,AST028,Asia Pacific,Upstream Oil,5573366.13,3000833.8,2572532.33,46.16,77.5
2024-01-04,AST029,Middle East,Integrated Gas,2941598.8,1331281.04,1610317.76,54.74,73.58
2024-01-04,AST030,Africa,Upstream Gas,6102462.22,2694253.47,3408208.75,55.85,79.06
2024-01-05,AST004,Middle East,Upstream Oil,4713596.2,2242694.54,2470901.65,52.42,72.2
2024-01-05,AST008,Asia Pacific,Integrated Gas,2402809.98,1405938.77,996871.21,41.49,76.04
2024-01-05,AST009,Middle East,Upstream Gas,3297726.74,1822086.32,1475640.43,44.75,72.2
2024-01-05,AST010,Africa,Upstream Oil,2349064.87,1053092.85,1295972.02,55.17,77.58
2024-01-05,AST012,Europe,Upstream Gas,4098981.01,2145242.71,1953738.3,47.66,80.65
2024-01-05,AST013,Asia Pacific,Upstream Oil,4354843.57,2456756.39,1898087.18,43.59,76.04
2024-01-05,AST014,Middle East,Integrated Gas,4277283.14,1931839.15,2345443.99,54.83,72.2
2024-01-05,AST016,Americas,Upstream Oil,3135728.31,1625807.54,1509920.77,48.15,78.35
2024-01-05,AST018,Asia Pacific,Upstream Gas,5878495.12,3141412.07,2737083.05,46.56,76.04
2024-01-05,AST019,Middle East,Upstream Oil,2179038.25,1245599.83,933438.42,42.84,72.2
2024-01-05,AST021,Americas,Upstream Gas,5354022.62,3332196.12,2021826.5,37.76,78.35
2024-01-05,AST022,Europe,Upstream Oil,2948420.98,1787256.12,1161164.86,39.38,80.65
2024-01-05,AST025,Africa,Upstream Oil,4178046.15,1929338.32,2248707.83,53.82,77.58
2024-01-05,AST027,Europe,Upstream Gas,6239646.91,2565041.4,3674605.52,58.89,80.65
2024-01-05,AST029,Middle East,Integrated Gas,3305741.1,1991538.32,1314202.78,39.76,72.2
2024-01-06,AST002,Europe,Integrated Gas,2443615.02,1217988.5,1225626.52,50.16,83.16
2024-01-06,AST003,Asia Pacific,Upstream Gas,3188265.3,1614261.48,1574003.82,49.37,78.41
2024-01-06,AST004,Middle East,Upstream Oil,5131253.95,2678585.56,2452668.39,47.8,74.45
2024-01-06,AST005,Africa,Integrated Gas,3766343.33,1506217.79,2260125.54,60.01,79.99
2024-01-06,AST009,Middle East,Upstream Gas,3319189.63,1662585.24,1656604.39,49.91,74.45
2024-01-06,AST012,Europe,Upstream Gas,4513342.68,2333825.72,2179516.96,48.29,83.16
2024-01-06,AST014,Middle East,Integrated Gas,3962643.7,2335631.14,1627012.56,41.06,74.45
2024-01-06,AST015,Africa,Upstream Gas,2253614.62,1117795.42,1135819.2,50.4,79.99
2024-01-06,AST016,Americas,Upstream Oil,3010092.62,1446344.17,1563748.45,51.95,80.78
2024-01-06,AST017,Europe,Integrated Gas,5880742.56,3118387.61,2762354.95,46.97,83.16
2024-01-06,AST018,Asia Pacific,Upstream Gas,5826263.26,2798832.13,3027431.13,51.96,78.41
2024-01-06,AST019,Middle East,Upstream Oil,2391716.45,1478579.36,913137.09,38.18,74.45
2024-01-06,AST023,Asia Pacific,Integrated Gas,3433564.73,1586607.09,1846957.64,53.79,78.41
2024-01-06,AST025,Africa,Upstream Oil,4740325.92,2362769.62,2377556.3,50.16,79.99
2024-01-06,AST026,Americas,Integrated Gas,5013616.61,2322906.12,2690710.49,53.67,80.78
2024-01-06,AST028,Asia Pacific,Upstream Oil,5981197.46,3494569.64,2486627.82,41.57,78.41
2024-01-07,AST003,Asia Pacific,Upstream Gas,3105661.54,1827551.35,1278110.18,41.15,78.9
2024-01-07,AST004,Middle East,Upstream Oil,5133231.52,2471333.14,2661898.38,51.86,74.92
2024-01-07,AST006,Americas,Upstream Gas,4137702.01,2264874.95,1872827.06,45.26,81.29
2024-01-07,AST008,Asia Pacific,Integrated Gas,2513218.36,1150883.14,1362335.22,54.21,78.9
2024-01-07,AST009,Middle East,Upstream Gas,3395283.76,1450276.35,1945007.41,57.29,74.92
2024-01-07,AST011,Americas,Integrated Gas,7017785.84,4059343.32,2958442.52,42.16,81.29
2024-01-07,AST013,Asia Pacific,Upstream Oil,4919523.15,1864678.17,3054844.98,62.1,78.9
2024-01-07,AST018,Asia Pacific,Upstream Gas,6288095.68,3845334.14,2442761.54,38.85,78.9
2024-01-07,AST019,Middle East,Upstream Oil,2308373.42,1287103.56,1021269.86,44.24,74.92
2024-01-07,AST020,Africa,Integrated Gas,4119071.74,1977914.94,2141156.79,51.98,80.5
2024-01-07,AST021,Americas,Upstream Gas,6164524.02,3143461.42,3021062.6,49.01,81.29
2024-01-07,AST022,Europe,Upstream Oil,2860771.72,1671257.47,1189514.25,41.58,83.68
2024-01-07,AST023,Asia Pacific,Integrated Gas,2965648.16,1609284.35,1356363.81,45.74,78.9
2024-01-07,AST025,Africa,Upstream Oil,4070169.81,1939364.18,2130805.63,52.35,80.5
2024-01-07,AST027,Europe,Upstream Gas,6575381.51,3007118.22,3568263.28,54.27,83.69
2024-01-07,AST029,Middle East,Integrated Gas,3166634.02,1623060.04,1543573.98,48.74,74.92
2024-01-07,AST030,Africa,Upstream Gas,6449661.13,3366688.76,3082972.37,47.8,80.5
2024-01-08,AST001,Americas,Upstream Oil,2999456.95,1561631.52,1437825.43,47.94,79.96
2024-01-08,AST004,Middle East,Upstream Oil,4895185.05,2836232.34,2058952.71,42.06,73.69
2024-01-08,AST005,Africa,Integrated Gas,3510913.81,1579090.16,1931823.66,55.02,79.17
2024-01-08,AST009,Middle East,Upstream Gas,3426279.53,1901401.74,1524877.79,44.51,73.69
2024-01-08,AST011,Americas,Integrated Gas,6503847.41,3290711.7,3213135.71,49.4,79.96
2024-01-08,AST013,Asia Pacific,Upstream Oil,4747300.95,2426305.47,2320995.48,48.89,77.61
2024-01-08,AST017,Europe,Integrated Gas,5517041.17,2113689.71,3403351.46,61.69,82.31
2024-01-08,AST019,Middle East,Upstream Oil,2208608.46,1422333.06,786275.4,35.6,73.69
2024-01-08,AST020,Africa,Integrated Gas,4084027.28,1906019.9,2178007.39,53.33,79.17
2024-01-08,AST022,Europe,Upstream Oil,2956557.24,1336871.37,1619685.87,54.78,82.31
2024-01-08,AST023,Asia Pacific,Integrated Gas,3306071.6,1640747.6,1665324.0,50.37,77.61
2024-01-08,AST026,Americas,Integrated Gas,4907050.16,2439622.04,2467428.12,50.28,79.96
2024-01-08,AST027,Europe,Upstream Gas,6866875.81,2586530.25,4280345.56,62.33,82.31
2024-01-08,AST028,Asia Pacific,Upstream Oil,5521518.8,3025660.94,2495857.85,45.2,77.61
2024-01-08,AST029,Middle East,Integrated Gas,3223199.26,1527266.36,1695932.9,52.62,73.69
2024-01-08,AST030,Africa,Upstream Gas,5959181.93,3179593.46,2779588.47,46.64,79.17
2024-01-09,AST001,Americas,Upstream Oil,2734321.63,1580819.34,1153502.29,42.19,79.44
2024-01-09,AST002,Europe,Integrated Gas,2431386.34,1502664.44,928721.89,38.2,81.77
2024-01-09,AST003,Asia Pacific,Upstream Gas,3011033.16,1543478.33,1467554.84,48.74,77.1
2024-01-09,AST004,Middle East,Upstream Oil,5200493.07,2419043.68,2781449.39,53.48,73.21
2024-01-09,AST005,Africa,Integrated Gas,3311928.77,1758448.47,1553480.3,46.91,78.66
2024-01-09,AST006,Americas,Upstream Gas,3990892.07,1791358.47,2199533.6,55.11,79.44
2024-01-09,AST007,Europe,Upstream Oil,6177371.51,2786803.88,3390567.63,54.89,81.77
2024-01-09,AST008,Asia Pacific,Integrated Gas,2429921.42,1537710.83,892210.59,36.72,77.1
2024-01-09,AST009,Middle East,Upstream Gas,3397655.96,1589799.02,1807856.94,53.21,73.21
2024-01-09,AST012,Europe,Upstream Gas,4116094.29,2011876.92,2104217.37,51.12,81.77
2024-01-09,AST013,Asia Pacific,Upstream Oil,4806643.01,2522940.4,2283702.61,47.51,77.1
2024-01-09,AST014,Middle East,Integrated Gas,4049675.89,2292698.55,1756977.34,43.39,73.21
2024-01-09,AST016,Americas,Upstream Oil,3209358.48,1605546.89,1603811.59,49.97,79.44
2024-01-09,AST020,Africa,Integrated Gas,4727472.54,2825628.78,1901843.76,40.23,78.66
2024-01-09,AST022,Europe,Upstream Oil,2709526.97,1396289.77,1313237.2,48.47,81.77
2024-01-09,AST023,Asia Pacific,Integrated Gas,3269707.69,1719824.44,1549883.25,47.4,77.1
2024-01-09,AST025,Africa,Upstream Oil,4269756.98,2324845.39,1944911.59,45.55,78.66
2024-01-09,AST026,Americas,Integrated Gas,5252414.11,2658885.8,2593528.31,49.38,79.44
2024-01-09,AST028,Asia Pacific,Upstream Oil,5895851.66,3411845.95,2484005.71,42.13,77.1
2024-01-10,AST001,Americas,Upstream Oil,2878383.76,1868409.94,1009973.82,35.09,82.94
2024-01-10,AST004,Middle East,Upstream Oil,5685884.71,2897841.68,2788043.03,49.03,76.43
2024-01-10,AST005,Africa,Integrated Gas,4049572.18,1486681.85,2562890.33,63.29,82.12
2024-01-10,AST006,Americas,Upstream Gas,4805821.05,1762236.5,3043584.55,63.33,82.94
2024-01-10,AST007,Europe,Upstream Oil,5984737.18,2543892.66,3440844.51,57.49,85.38
2024-01-10,AST009,Middle East,Upstream Gas,3323288.23,1633705.35,1689582.88,50.84,76.43
2024-01-10,AST013,Asia Pacific,Upstream Oil,5259184.46,2397707.06,2861477.4,54.41,80.5
2024-01-10,AST014,Middle East,Integrated Gas,4239344.03,1856260.74,2383083.29,56.21,76.43
2024-01-10,AST015,Africa,Upstream Gas,2213217.54,1073274.15,1139943.39,51.51,82.12
2024-01-10,AST017,Europe,Integrated Gas,7028794.16,3515458.59,3513335.57,49.98,85.38
2024-01-10,AST023,Asia Pacific,Integrated Gas,3836643.25,1386264.87,2450378.38,63.87,80.5
2024-01-10,AST024,Middle East,Upstream Gas,3531207.11,2053692.1,1477515.01,41.84,76.43
2024-01-10,AST025,Africa,Upstream Oil,4096218.1,1654699.59,2441518.51,59.6,82.12
2024-01-10,AST026,Americas,Integrated Gas,5187244.63,2463362.16,2723882.47,52.51,82.94
2024-01-10,AST030,Africa,Upstream Gas,6489777.98,3429484.86,3060293.12,47.16,82.12
2024-01-11,AST004,Middle East,Upstream Oil,5068059.87,2749552.27,2318507.6,45.75,78.05
2024-01-11,AST005,Africa,Integrated Gas,3729770.7,1804036.3,1925734.4,51.63,83.86
2024-01-11,AST006,Americas,Upstream Gas,4637149.11,1627112.39,3010036.72,64.91,84.69
2024-01-11,AST007,Europe,Upstream Oil,6473139.19,2631338.42,3841800.77,59.35,87.18
2024-01-11,AST009,Middle East,Upstream Gas,3432403.74,1423514.9,2008888.84,58.53,78.05
2024-01-11,AST010,Africa,Upstream Oil,2448636.9,1119015.59,1329621.31,54.3,83.86
2024-01-11,AST013,Asia Pacific,Upstream Oil,4770788.39,2170026.61,2600761.78,54.51,82.2
2024-01-11,AST014,Middle East,Integrated Gas,4173939.69,1704170.44,2469769.25,59.17,78.05
2024-01-11,AST015,Africa,Upstream Gas,2332909.68,1040557.1,1292352.58,55.4,83.86
2024-01-11,AST016,Americas,Upstream Oil,3297513.2,1305399.46,1992113.74,60.41,84.69
2024-01-11,AST017,Europe,Integrated Gas,6542622.85,3328475.26,3214147.59,49.13,87.18
2024-01-11,AST018,Asia Pacific,Upstream Gas,6432578.62,3598170.26,2834408.36,44.06,82.2
2024-01-11,AST019,Middle East,Upstream Oil,2231944.38,1098868.67,1133075.71,50.77,78.05
2024-01-11,AST021,Americas,Upstream Gas,5430954.11,2137967.09,3292987.02,60.63,84.69
2024-01-11,AST022,Europe,Upstream Oil,2982522.7,1430944.34,1551578.36,52.02,87.18
2024-01-11,AST024,Middle East,Upstream Gas,3466042.51,1391119.45,2074923.06,59.86,78.05
2024-01-11,AST025,Africa,Upstream Oil,5041429.66,2700404.59,2341025.07,46.44,83.86
2024-01-11,AST027,Europe,Upstream Gas,6416732.76,2733818.97,3682913.8,57.4,87.18
2024-01-11,AST028,Asia Pacific,Upstream Oil,6616993.65,3484633.91,3132359.74,47.34,82.2
2024-01-11,AST029,Middle East,Integrated Gas,3121928.0,1480362.79,1641565.21,52.58,78.05
2024-01-11,AST030,Africa,Upstream Gas,6805766.5,3473606.97,3332159.54,48.96,83.86
2024-01-12,AST001,Americas,Upstream Oil,3255305.85,1748361.12,1506944.73,46.29,84.7
2024-01-12,AST002,Europe,Integrated Gas,2833042.46,1335869.18,1497173.28,52.85,87.19
2024-01-12,AST003,Asia Pacific,Upstream Gas,3541671.78,1660975.08,1880696.7,53.1,82.21
2024-01-12,AST004,Middle East,Upstream Oil,4766197.06,2656915.96,2109281.1,44.26,78.06
2024-01-12,AST007,Europe,Upstream Oil,5961535.02,2387631.08,3573903.94,59.95,87.19
2024-01-12,AST009,Middle East,Upstream Gas,3127143.57,1657166.56,1469977.01,47.01,78.06
2024-01-12,AST011,Americas,Integrated Gas,6451575.24,3020727.32,3430847.91,53.18,84.7
2024-01-12,AST012,Europe,Upstream Gas,4453098.89,2111979.26,2341119.63,52.57,87.19
2024-01-12,AST014,Middle East,Integrated Gas,4377157.98,2037289.24,2339868.74,53.46,78.06
2024-01-12,AST015,Africa,Upstream Gas,2322539.12,1162735.84,1159803.28,49.94,83.87
2024-01-12,AST018,Asia Pacific,Upstream Gas,6359364.71,3097194.16,3262170.54,51.3,82.21
2024-01-12,AST021,Americas,Upstream Gas,5562555.64,2726921.0,2835634.64,50.98,84.7
2024-01-12,AST022,Europe,Upstream Oil,3104296.78,1320436.41,1783860.37,57.46,87.19
2024-01-12,AST029,Middle East,Integrated Gas,3155868.77,1263396.14,1892472.63,59.97,78.06
2024-01-13,AST003,Asia Pacific,Upstream Gas,3140397.84,1745651.66,1394746.18,44.41,77.16
2024-01-13,AST005,Africa,Integrated Gas,3843002.39,1807839.09,2035163.3,52.96,78.72
2024-01-13,AST006,Americas,Upstream Gas,4347868.87,2317615.99,2030252.88,46.7,79.5
2024-01-13,AST007,Europe,Upstream Oil,5293176.24,2502708.62,2790467.62,52.72,81.84
2024-01-13,AST010,Africa,Upstream Oil,2282783.88,1305604.97,977178.91,42.81,78.72
2024-01-13,AST011,Americas,Integrated Gas,6422787.55,3779090.61,2643696.94,41.16,79.5
2024-01-13,AST013,Asia Pacific,Upstream Oil,4826395.53,2616788.21,2209607.32,45.78,77.16
2024-01-13,AST016,Americas,Upstream Oil,3118499.43,1377937.36,1740562.07,55.81,79.5
2024-01-13,AST020,Africa,Integrated Gas,4138121.42,2463707.11,1674414.31,40.46,78.72
2024-01-13,AST023,Asia Pacific,Integrated Gas,3364510.8,1517049.87,1847460.93,54.91,77.16
2024-01-13,AST024,Middle East,Upstream Gas,2974502.16,1608101.98,1366400.18,45.94,73.26
2024-01-13,AST025,Africa,Upstream Oil,4390731.97,2040569.9,2350162.07,53.53,78.72
2024-01-13,AST026,Americas,Integrated Gas,5249782.76,1952343.76,3297439.0,62.81,79.5
2024-01-14,AST001,Americas,Upstream Oil,3159635.42,2038519.62,1121115.79,35.48,82.76
2024-01-14,AST004,Middle East,Upstream Oil,4700389.89,2178368.3,2522021.59,53.66,76.27
2024-01-14,AST005,Africa,Integrated Gas,4243689.35,1608146.47,2635542.88,62.1,81.95
2024-01-14,AST009,Middle East,Upstream Gas,3419713.46,1389064.33,2030649.13,59.38,76.27
2024-01-14,AST010,Africa,Upstream Oil,2519595.79,1199440.3,1320155.49,52.4,81.95
2024-01-14,AST013,Asia Pacific,Upstream Oil,5315504.12,2407654.69,2907849.43,54.71,80.33
2024-01-14,AST014,Middle East,Integrated Gas,4252370.51,2185324.74,2067045.77,48.61,76.27
2024-01-14,AST015,Africa,Upstream Gas,2128687.62,914495.87,1214191.75,57.04,81.95
2024-01-14,AST016,Americas,Upstream Oil,3311339.63,1750838.73,1560500.9,47.13,82.76
2024-01-14,AST020,Africa,Integrated Gas,4105109.53,2245996.1,1859113.43,45.29,81.95
2024-01-14,AST021,Americas,Upstream Gas,5594958.39,2715158.62,2879799.78,51.47,82.76
2024-01-14,AST025,Africa,Upstream Oil,4670574.19,2015235.82,2655338.37,56.85,81.95
2024-01-14,AST027,Europe,Upstream Gas,6534780.29,2923513.0,3611267.29,55.26,85.2
2024-01-14,AST028,Asia Pacific,Upstream Oil,6157213.97,3423760.35,2733453.62,44.39,80.33
2024-01-14,AST029,Middle East,Integrated Gas,3125991.52,1619649.28,1506342.25,48.19,76.27
2024-01-14,AST030,Africa,Upstream Gas,5538685.37,2506041.88,3032643.49,54.75,81.95
2024-01-15,AST001,Americas,Upstream Oil,3080861.51,1667595.5,1413266.01,45.87,86.92
2024-01-15,AST002,Europe,Integrated Gas,3070451.03,1676395.1,1394055.93,45.4,89.48
2024-01-15,AST004,Middle East,Upstream Oil,5569665.59,3073003.91,2496661.68,44.83,80.11
2024-01-15,AST005,Africa,Integrated Gas,4091528.1,1397132.04,2694396.06,65.85,86.07
2024-01-15,AST008,Asia Pacific,Integrated Gas,2746509.36,1128135.15,1618374.21,58.92,84.37
2024-01-15,AST011,Americas,Integrated Gas,6928483.15,2902220.15,4026263.0,58.11,86.92
2024-01-15,AST012,Europe,Upstream Gas,4353519.09,2223246.75,2130272.34,48.93,89.48
2024-01-15,AST013,Asia Pacific,Upstream Oil,5038529.38,2043007.24,2995522.14,59.45,84.37
2024-01-15,AST015,Africa,Upstream Gas,2419661.69,1052182.49,1367479.2,56.52,86.07
2024-01-15,AST018,Asia Pacific,Upstream Gas,5520691.36,2980889.22,2539802.14,46.01,84.37
2024-01-15,AST020,Africa,Integrated Gas,4325041.98,1712076.28,2612965.7,60.41,86.07
2024-01-15,AST022,Europe,Upstream Oil,2952649.3,1348850.0,1603799.3,54.32,89.48
2024-01-15,AST023,Asia Pacific,Integrated Gas,3717667.11,1338133.33,2379533.78,64.01,84.37
2024-01-15,AST024,Middle East,Upstream Gas,3744191.83,1368975.99,2375215.84,63.44,80.11
2024-01-15,AST026,Americas,Integrated Gas,5408175.39,1884649.36,3523526.03,65.15,86.92
2024-01-15,AST027,Europe,Upstream Gas,7193735.51,3577203.56,3616531.95,50.27,89.48
2024-01-15,AST028,Asia Pacific,Upstream Oil,6315520.4,3242027.76,3073492.64,48.67,84.37
2024-01-15,AST029,Middle East,Integrated Gas,3584699.19,1781846.51,1802852.68,50.29,80.11
2024-01-15,AST030,Africa,Upstream Gas,6558099.13,3197454.4,3360644.73,51.24,86.07
2024-01-16,AST001,Americas,Upstream Oil,2759790.34,1384040.18,1375750.16,49.85,80.38
2024-01-16,AST004,Middle East,Upstream Oil,5558214.74,2439146.64,3119068.1,56.12,74.07
2024-01-16,AST005,Africa,Integrated Gas,3807649.1,1725735.38,2081913.72,54.68,79.59
2024-01-16,AST007,Europe,Upstream Oil,6343179.36,2811863.61,3531315.75,55.67,82.74
2024-01-16,AST008,Asia Pacific,Integrated Gas,2241050.72,1028536.59,1212514.13,54.1,78.01
2024-01-16,AST009,Middle East,Upstream Gas,3276648.99,1706897.01,1569751.98,47.91,74.07
2024-01-16,AST010,Africa,Upstream Oil,2385570.71,1088212.04,1297358.67,54.38,79.59
2024-01-16,AST011,Americas,Integrated Gas,6171510.41,2555315.65,3616194.76,58.59,80.38
2024-01-16,AST012,Europe,Upstream Gas,4371485.16,2517391.38,1854093.78,42.41,82.74
2024-01-16,AST015,Africa,Upstream Gas,2065985.1,903757.32,1162227.78,56.26,79.59
2024-01-16,AST016,Americas,Upstream Oil,3151623.34,1565238.94,1586384.4,50.34,80.38
2024-01-16,AST019,Middle East,Upstream Oil,2095348.74,1352933.6,742415.14,35.43,74.07
2024-01-16,AST020,Africa,Integrated Gas,4262733.28,2269805.06,1992928.22,46.75,79.59
2024-01-16,AST021,Americas,Upstream Gas,5793903.96,3356838.3,2437065.66,42.06,80.38
2024-01-16,AST022,Europe,Upstream Oil,3250192.68,1683853.26,1566339.42,48.19,82.74
2024-01-16,AST023,Asia Pacific,Integrated Gas,3192875.14,1453911.13,1738964.01,54.46,78.01
2024-01-16,AST027,Europe,Upstream Gas,6439281.87,2548504.31,3890777.56,60.42,82.74
2024-01-16,AST028,Asia Pacific,Upstream Oil,5819383.15,3771997.46,2047385.69,35.18,78.01
2024-01-16,AST029,Middle East,Integrated Gas,3126801.34,1758828.88,1367972.46,43.75,74.07
2024-01-16,AST030,Africa,Upstream Gas,6509422.93,2964358.8,3545064.13,54.46,79.59
2024-01-17,AST001,Americas,Upstream Oil,2888804.34,1801594.21,1087210.13,37.64,82.51
2024-01-17,AST002,Europe,Integrated Gas,2600694.39,1422101.12,1178593.27,45.32,84.93
2024-01-17,AST009,Middle East,Upstream Gas,3360386.84,1687854.64,1672532.2,49.77,76.04
2024-01-17,AST011,Americas,Integrated Gas,6616052.96,2993290.46,3622762.5,54.76,82.51
2024-01-17,AST012,Europe,Upstream Gas,4085859.06,1981427.69,2104431.37,51.51,84.93
2024-01-17,AST015,Africa,Upstream Gas,2214652.93,898511.94,1316141.0,59.43,81.7
2024-01-17,AST018,Asia Pacific,Upstream Gas,6242481.91,2994124.39,3248357.52,52.04,80.08
2024-01-17,AST022,Europe,Upstream Oil,3046175.84,1616152.72,1430023.12,46.94,84.93
2024-01-17,AST023,Asia Pacific,Integrated Gas,3515079.8,1568395.64,1946684.16,55.38,80.08
2024-01-17,AST029,Middle East,Integrated Gas,3389407.48,1487319.57,1902087.91,56.12,76.04
