date,asset_id,downtime_hours,maintenance_type,planned_unplanned,region,segment,estimated_production_loss_boe,estimated_revenue_loss_usd
2025-01-02,AST-041,5.7,Preventive,Planned,India,Integrated Gas,28978.0,1926264.0
2025-01-02,AST-049,3.84,Corrective,Planned,North America,Upstream,13934.0,1055723.0
2025-01-03,AST-007,0.82,Preventive,Planned,India,Chemicals & Products,2811.0,184821.0
2025-01-03,AST-009,4.78,Corrective,Unplanned,Europe,Upstream,9022.0,540466.0
2025-01-03,AST-012,1.01,Preventive,Planned,Africa,Upstream,4414.0,328255.0
2025-01-03,AST-018,9.3,Corrective,Planned,India,Integrated Gas,35015.0,2587627.0
2025-01-03,AST-019,11.07,Preventive,Planned,Africa,Upstream,17725.5,1274497.5
2025-01-03,AST-022,7.69,Corrective,Unplanned,China,Upstream,20911.0,1452519.0
2025-01-03,AST-027,12.74,Inspection,Planned,China,Upstream,30813.0,2482517.0
2025-01-03,AST-028,1.42,Turnaround,Planned,North America,Integrated Gas,3120.0,234719.0
2025-01-03,AST-034,2.84,Corrective,Planned,Middle East,Upstream,4080.0,308700.0
2025-01-03,AST-036,20.38,Inspection,Unplanned,India,Integrated Gas,68389.0,5611675.0
2025-01-03,AST-037,1.09,Turnaround,Planned,Africa,Upstream,2010.0,133154.0
2025-01-03,AST-043,1.57,Corrective,Planned,North America,Upstream,8316.0,506225.0
2025-01-03,AST-044,2.28,Preventive,Planned,China,Upstream,7785.0,604036.0
2025-01-03,AST-045,4.04,Turnaround,Planned,India,Upstream,17319.0,1321990.0
2025-01-03,AST-048,4.12,Preventive,Planned,Africa,Chemicals & Products,5136.0,398155.0
2025-01-03,AST-050,12.1,Corrective,Planned,North America,Upstream,6958.0,558839.5
2025-01-04,AST-002,1.07,Preventive,Planned,North America,Upstream,2515.0,200008.0
2025-01-04,AST-003,15.08,Corrective,Planned,Middle East,Upstream,37454.0,2510382.0
2025-01-04,AST-007,5.05,Preventive,Planned,India,Chemicals & Products,12764.0,821770.0
2025-01-04,AST-012,0.1,Preventive,Planned,Africa,Upstream,432.0,29172.0
2025-01-04,AST-016,2.69,Corrective,Planned,North America,Upstream,5519.0,411639.0
2025-01-04,AST-017,8.25,Preventive,Planned,Middle East,Chemicals & Products,21919.5,1664486.5
2025-01-04,AST-018,1.4,Preventive,Planned,India,Integrated Gas,4778.0,316146.0
2025-01-04,AST-024,5.1,Inspection,Planned,Africa,Integrated Gas,8139.0,534338.0
2025-01-04,AST-025,6.57,Preventive,Planned,North America,Upstream,45398.0,3485145.0
2025-01-04,AST-026,1.79,Turnaround,Planned,Middle East,Upstream,12176.0,812955.0
2025-01-04,AST-029,10.06,Corrective,Planned,Middle East,Integrated Gas,33099.5,2290341.0
2025-01-04,AST-030,2.68,Preventive,Unplanned,China,Integrated Gas,14126.0,930472.0
2025-01-04,AST-032,14.4,Turnaround,Unplanned,Europe,Upstream,62725.0,3914540.0
2025-01-04,AST-034,1.78,Preventive,Planned,Middle East,Upstream,2376.0,162905.0
2025-01-04,AST-035,2.07,Preventive,Planned,Africa,Upstream,11530.0,914920.0
2025-01-04,AST-039,8.91,Corrective,Planned,Europe,Integrated Gas,31222.0,2005076.0
2025-01-04,AST-043,0.69,Corrective,Planned,North America,Upstream,3304.0,277118.0
2025-01-04,AST-044,0.26,Preventive,Planned,China,Upstream,794.0,59705.0
2025-01-04,AST-045,1.38,Corrective,Planned,India,Upstream,5916.0,528327.0
2025-01-04,AST-050,4.0,Preventive,Planned,North America,Upstream,4572.0,311471.0
2025-01-05,AST-001,4.69,Inspection,Planned,India,Upstream,12734.0,1051483.0
2025-01-05,AST-002,13.2,Preventive,Planned,North America,Upstream,20947.0,1708147.0
2025-01-05,AST-008,5.49,Turnaround,Planned,North America,Upstream,25602.0,1751237.0
2025-01-05,AST-015,3.18,Preventive,Planned,North America,Integrated Gas,11813.0,852497.0
2025-01-05,AST-016,12.6,Preventive,Unplanned,North America,Upstream,18879.0,1596495.0
2025-01-05,AST-018,3.54,Turnaround,Planned,India,Integrated Gas,11737.0,796271.0
2025-01-05,AST-027,1.24,Corrective,Planned,China,Upstream,5007.0,348012.0
2025-01-05,AST-028,13.45,Preventive,Unplanned,North America,Integrated Gas,40929.0,3116493.0
2025-01-05,AST-029,5.13,Corrective,Planned,Middle East,Integrated Gas,36590.0,2408448.0
2025-01-05,AST-039,9.0,Corrective,Unplanned,Europe,Integrated Gas,33430.0,2626317.0
2025-01-05,AST-041,6.22,Preventive,Planned,India,Integrated Gas,35667.0,2838688.0
2025-01-05,AST-048,7.59,Preventive,Unplanned,Africa,Chemicals & Products,11078.0,690686.0
2025-01-06,AST-001,23.85,Inspection,Unplanned,India,Upstream,53144.0,4049559.0
2025-01-06,AST-003,11.76,Preventive,Planned,Middle East,Upstream,26477.5,1820917.0
2025-01-06,AST-006,3.89,Corrective,Planned,Africa,Integrated Gas,15093.0,989789.0
2025-01-06,AST-008,1.2,Corrective,Planned,North America,Upstream,7879.0,474370.0
2025-01-06,AST-010,13.24,Turnaround,Unplanned,India,Upstream,13994.0,922892.0
2025-01-06,AST-011,0.37,Preventive,Planned,Middle East,Upstream,483.0,30680.0
2025-01-06,AST-017,5.59,Turnaround,Unplanned,Middle East,Chemicals & Products,28696.0,2242893.0
2025-01-06,AST-019,2.5,Preventive,Planned,Africa,Upstream,7922.0,539516.0
2025-01-06,AST-020,3.17,Preventive,Planned,China,Chemicals & Products,8606.0,539002.0
2025-01-06,AST-022,1.77,Preventive,Planned,China,Upstream,4456.0,298921.0
2025-01-06,AST-024,2.79,Preventive,Planned,Africa,Integrated Gas,4212.0,274186.0
2025-01-06,AST-025,7.38,Preventive,Unplanned,North America,Upstream,42575.0,3369124.0
2025-01-06,AST-027,9.24,Preventive,Planned,China,Upstream,24881.5,1807886.0
2025-01-06,AST-028,9.55,Preventive,Unplanned,North America,Integrated Gas,22010.0,1566484.0
2025-01-06,AST-030,6.57,Corrective,Unplanned,China,Integrated Gas,37709.0,2914102.0
2025-01-06,AST-034,3.56,Inspection,Planned,Middle East,Upstream,6026.0,430126.0
2025-01-06,AST-035,1.03,Inspection,Planned,Africa,Upstream,5914.0,423145.0
2025-01-06,AST-039,1.25,Preventive,Planned,Europe,Integrated Gas,4888.0,314487.0
2025-01-06,AST-042,2.69,Preventive,Planned,North America,Integrated Gas,16165.0,1282903.0
2025-01-06,AST-043,0.7,Preventive,Planned,North America,Upstream,3026.0,208079.0
2025-01-06,AST-045,2.67,Preventive,Planned,India,Upstream,10296.0,844781.0
2025-01-06,AST-047,3.43,Turnaround,Planned,China,Upstream,13940.0,896994.0
2025-01-07,AST-005,2.03,Preventive,Planned,China,Integrated Gas,10872.0,667004.0
2025-01-07,AST-006,2.67,Corrective,Planned,Africa,Integrated Gas,13636.0,1071944.0
2025-01-07,AST-007,3.23,Corrective,Planned,India,Chemicals & Products,6110.0,480667.5
2025-01-07,AST-012,4.07,Preventive,Planned,Africa,Upstream,18723.0,1201857.0
2025-01-07,AST-014,6.11,Preventive,Unplanned,North America,Upstream,10316.0,787284.0
2025-01-07,AST-015,12.04,Turnaround,Planned,North America,Integrated Gas,39233.0,2673846.0
2025-01-07,AST-017,3.17,Corrective,Planned,Middle East,Chemicals & Products,14527.0,1201076.0
2025-01-07,AST-023,2.43,Corrective,Planned,Europe,Upstream,3128.0,210059.0
2025-01-07,AST-027,2.32,Preventive,Planned,China,Upstream,10527.0,826319.0
2025-01-07,AST-028,1.91,Preventive,Planned,North America,Integrated Gas,4491.0,331047.0
2025-01-07,AST-044,13.32,Corrective,Planned,China,Upstream,21162.0,1487999.0
2025-01-07,AST-047,6.86,Corrective,Planned,China,Upstream,25029.0,2029815.0
2025-01-07,AST-049,9.43,Turnaround,Unplanned,North America,Upstream,32068.0,2365486.0
2025-01-08,AST-001,13.87,Corrective,Unplanned,India,Upstream,28697.0,1858755.0
2025-01-08,AST-004,14.61,Inspection,Unplanned,China,Upstream,54269.0,4446370.0
2025-01-08,AST-005,1.52,Preventive,Planned,China,Integrated Gas,8016.0,623563.0
2025-01-08,AST-008,1.9,Turnaround,Planned,North America,Upstream,9446.0,727763.0
2025-01-08,AST-012,8.11,Corrective,Planned,Africa,Upstream,23427.5,1531127.5
2025-01-08,AST-014,5.06,Preventive,Planned,North America,Upstream,8621.0,715732.0
2025-01-08,AST-017,3.36,Corrective,Planned,Middle East,Chemicals & Products,17255.0,1145700.0
2025-01-08,AST-019,1.07,Preventive,Planned,Africa,Upstream,3454.0,259297.0
2025-01-08,AST-020,3.8,Inspection,Planned,China,Chemicals & Products,9227.0,661684.0
2025-01-08,AST-022,3.04,Corrective,Planned,China,Upstream,9738.0,757822.0
2025-01-08,AST-023,9.59,Inspection,Unplanned,Europe,Upstream,15531.0,1097780.0
2025-01-08,AST-030,5.45,Preventive,Unplanned,China,Integrated Gas,25159.0,1697599.0
2025-01-08,AST-031,17.82,Corrective,Unplanned,China,Integrated Gas,79947.0,6368828.0
2025-01-08,AST-032,1.9,Corrective,Planned,Europe,Upstream,7123.0,470756.0
2025-01-08,AST-034,5.31,Corrective,Planned,Middle East,Upstream,7003.0,458670.0
2025-01-08,AST-037,2.13,Corrective,Planned,Africa,Upstream,4800.0,318650.0
2025-01-08,AST-041,3.56,Turnaround,Planned,India,Integrated Gas,16598.0,1332052.0
2025-01-08,AST-043,3.86,Preventive,Planned,North America,Upstream,19181.0,1320490.0
2025-01-08,AST-046,7.4,Preventive,Planned,Africa,Upstream,28841.0,1866114.0
2025-01-09,AST-001,3.05,Corrective,Planned,India,Upstream,8559.0,573167.0
2025-01-09,AST-006,1.41,Turnaround,Planned,Africa,Integrated Gas,5792.0,394873.0
2025-01-09,AST-011,1.87,Inspection,Planned,Middle East,Upstream,2420.0,165297.0
2025-01-09,AST-012,9.52,Preventive,Planned,Africa,Upstream,20823.0,1505332.5
2025-01-09,AST-013,11.77,Corrective,Planned,North America,Upstream,22420.5,1749695.0
2025-01-09,AST-014,3.93,Corrective,Planned,North America,Upstream,6774.0,499728.0
2025-01-09,AST-018,14.8,Inspection,Planned,India,Integrated Gas,22986.5,1544433.5
2025-01-09,AST-024,3.39,Inspection,Planned,Africa,Integrated Gas,6349.0,533502.0
2025-01-09,AST-026,4.71,Corrective,Planned,Middle East,Upstream,28915.0,2241072.0
2025-01-09,AST-027,17.82,Turnaround,Planned,China,Upstream,35322.5,2631120.5
2025-01-09,AST-028,22.57,Inspection,Unplanned,North America,Integrated Gas,53929.0,4589215.0
2025-01-09,AST-034,3.04,Preventive,Planned,Middle East,Upstream,4529.0,377646.0
2025-01-09,AST-038,13.69,Corrective,Planned,North America,Integrated Gas,11104.33,795923.0
2025-01-09,AST-039,8.91,Corrective,Planned,Europe,Integrated Gas,41819.0,3126617.0
2025-01-09,AST-044,2.64,Corrective,Planned,China,Upstream,8491.0,706786.0
2025-01-09,AST-045,15.68,Corrective,Planned,India,Upstream,18987.75,1301059.5
2025-01-09,AST-047,1.88,Preventive,Planned,China,Upstream,9635.0,630659.0
2025-01-10,AST-006,5.88,Corrective,Planned,Africa,Integrated Gas,12848.0,858386.0
2025-01-10,AST-010,5.25,Inspection,Planned,India,Upstream,6969.0,470300.0
2025-01-10,AST-012,9.83,Corrective,Unplanned,Africa,Upstream,56621.0,3799320.0
2025-01-10,AST-024,9.33,Corrective,Planned,Africa,Integrated Gas,15916.0,1222803.0
2025-01-10,AST-025,0.79,Preventive,Planned,North America,Upstream,4162.0,324862.0
2025-01-10,AST-027,1.08,Preventive,Planned,China,Upstream,5834.0,364274.0
2025-01-10,AST-031,10.64,Corrective,Unplanned,China,Integrated Gas,54859.0,3947480.0
2025-01-10,AST-033,7.24,Corrective,Planned,India,Integrated Gas,19422.0,1396128.0
2025-01-10,AST-045,16.75,Inspection,Planned,India,Upstream,38443.0,2813830.5
2025-01-10,AST-047,12.76,Preventive,Unplanned,China,Upstream,67245.0,5020372.0
2025-01-11,AST-007,1.23,Corrective,Planned,India,Chemicals & Products,4118.0,324046.0
2025-01-11,AST-008,8.71,Inspection,Planned,North America,Upstream,25961.5,1971443.0
2025-01-11,AST-010,3.24,Corrective,Planned,India,Upstream,3236.0,206920.0
2025-01-11,AST-018,2.73,Preventive,Planned,India,Integrated Gas,8629.0,710754.0
2025-01-11,AST-021,6.47,Corrective,Planned,Middle East,Chemicals & Products,10031.33,760627.67
2025-01-11,AST-025,4.2,Corrective,Planned,North America,Upstream,29486.0,2213619.0
2025-01-11,AST-033,1.61,Preventive,Planned,India,Integrated Gas,3652.0,275918.0
2025-01-11,AST-035,8.72,Preventive,Planned,Africa,Upstream,54757.0,3976118.0
2025-01-11,AST-038,0.69,Corrective,Planned,North America,Integrated Gas,1838.0,142642.0
2025-01-11,AST-042,2.34,Corrective,Planned,North America,Integrated Gas,14187.0,1060163.0
2025-01-11,AST-045,8.39,Corrective,Planned,India,Upstream,20303.0,1582024.0
2025-01-11,AST-046,6.17,Corrective,Planned,Africa,Upstream,22780.0,1904854.0
2025-01-11,AST-049,7.13,Inspection,Planned,North America,Upstream,25128.0,1809706.0
2025-01-11,AST-050,17.7,Corrective,Unplanned,North America,Upstream,16929.0,1122710.0
2025-01-12,AST-011,4.57,Preventive,Planned,Middle East,Upstream,7346.0,592863.0
2025-01-12,AST-012,5.32,Preventive,Planned,Africa,Upstream,24484.0,1894189.0
2025-01-12,AST-023,2.9,Inspection,Planned,Europe,Upstream,4098.0,278737.0
2025-01-12,AST-025,2.01,Preventive,Planned,North America,Upstream,15535.0,1103581.0
2025-01-12,AST-030,3.64,Inspection,Planned,China,Integrated Gas,18843.0,1207010.0
2025-01-12,AST-032,8.54,Corrective,Planned,Europe,Upstream,27529.0,2226484.0
2025-01-12,AST-033,1.73,Preventive,Planned,India,Integrated Gas,4419.0,353246.0
2025-01-12,AST-039,2.24,Corrective,Planned,Europe,Integrated Gas,10733.0,737939.0
2025-01-12,AST-041,11.17,Inspection,Planned,India,Integrated Gas,25316.0,1908322.0
2025-01-12,AST-043,2.64,Corrective,Planned,North America,Upstream,9887.0,679334.0
2025-01-12,AST-044,38.71,Corrective,Planned,China,Upstream,63765.5,4438973.5
2025-01-13,AST-003,4.57,Turnaround,Planned,Middle East,Upstream,20091.0,1686551.0
2025-01-13,AST-004,33.53,Corrective,Unplanned,China,Upstream,47187.33,3514220.0
2025-01-13,AST-009,1.93,Preventive,Planned,Europe,Upstream,3668.0,295124.0
2025-01-13,AST-011,4.84,Turnaround,Planned,Middle East,Upstream,8629.0,662073.0
2025-01-13,AST-015,34.42,Inspection,Unplanned,North America,Integrated Gas,138065.0,9167453.0
2025-01-13,AST-018,11.42,Turnaround,Unplanned,India,Integrated Gas,32553.0,2105048.0
2025-01-13,AST-020,4.47,Corrective,Planned,China,Chemicals & Products,11934.0,784211.0
2025-01-13,AST-023,5.22,Preventive,Planned,Europe,Upstream,7066.0,599171.0
2025-01-13,AST-025,1.12,Corrective,Planned,North America,Upstream,6471.0,546972.0
2025-01-13,AST-026,0.46,Preventive,Planned,Middle East,Upstream,2778.0,180106.0
2025-01-13,AST-027,1.66,Preventive,Planned,China,Upstream,8060.0,614585.0
2025-01-13,AST-031,15.18,Preventive,Planned,China,Integrated Gas,28322.33,1949011.33
2025-01-13,AST-033,5.66,Inspection,Planned,India,Integrated Gas,14006.0,1021153.0
2025-01-13,AST-034,4.3,Inspection,Planned,Middle East,Upstream,5907.0,387571.0
2025-01-13,AST-036,11.65,Inspection,Unplanned,India,Integrated Gas,37726.0,2752250.0
2025-01-13,AST-038,30.45,Corrective,Unplanned,North America,Integrated Gas,36786.5,2460057.0
2025-01-13,AST-039,1.91,Turnaround,Planned,Europe,Integrated Gas,9641.0,647297.0
2025-01-13,AST-044,37.4,Corrective,Planned,China,Upstream,65094.5,4903095.5
2025-01-13,AST-045,4.36,Preventive,Planned,India,Upstream,17387.0,1364771.0
2025-01-13,AST-046,8.25,Preventive,Planned,Africa,Upstream,18196.0,1288441.5
2025-01-14,AST-005,2.12,Preventive,Planned,China,Integrated Gas,5387.5,379206.5
2025-01-14,AST-010,3.05,Corrective,Planned,India,Upstream,3092.0,209381.0
2025-01-14,AST-015,8.35,Preventive,Unplanned,North America,Integrated Gas,26829.0,2030816.0
2025-01-14,AST-017,8.99,Corrective,Planned,Middle East,Chemicals & Products,39985.0,3186573.0
2025-01-14,AST-018,14.08,Preventive,Unplanned,India,Integrated Gas,39988.0,3201317.0
2025-01-14,AST-019,14.9,Corrective,Planned,Africa,Upstream,24621.5,1731407.5
2025-01-14,AST-020,2.96,Corrective,Planned,China,Chemicals & Products,8749.0,577818.0
2025-01-14,AST-022,12.24,Preventive,Planned,China,Upstream,38511.0,2509650.0
2025-01-14,AST-023,9.67,Preventive,Planned,Europe,Upstream,13850.0,927312.0
2025-01-14,AST-025,2.65,Corrective,Planned,North America,Upstream,15836.0,1268065.0
2025-01-14,AST-028,4.65,Preventive,Planned,North America,Integrated Gas,9912.0,696956.0
2025-01-14,AST-033,4.51,Corrective,Planned,India,Integrated Gas,11474.0,898584.0
2025-01-14,AST-034,0.87,Turnaround,Planned,Middle East,Upstream,1310.0,95126.0
2025-01-14,AST-037,5.81,Corrective,Planned,Africa,Upstream,6489.5,500278.0
2025-01-14,AST-038,11.59,Preventive,Planned,North America,Integrated Gas,35711.0,2394597.0
2025-01-14,AST-039,2.82,Corrective,Planned,Europe,Integrated Gas,10996.0,853129.0
2025-01-14,AST-042,20.2,Preventive,Planned,North America,Integrated Gas,33698.33,2566651.67
2025-01-14,AST-043,0.84,Inspection,Planned,North America,Upstream,4111.0,322515.0
2025-01-14,AST-048,0.28,Preventive,Planned,Africa,Chemicals & Products,369.0,27316.0
2025-01-14,AST-050,3.05,Inspection,Planned,North America,Upstream,2991.0,221560.0
2025-01-15,AST-003,2.72,Corrective,Planned,Middle East,Upstream,12725.0,757404.0
2025-01-15,AST-004,9.28,Preventive,Planned,China,Upstream,45817.0,3335678.0
2025-01-15,AST-005,0.75,Preventive,Planned,China,Integrated Gas,4006.0,305060.0
2025-01-15,AST-006,3.38,Corrective,Planned,Africa,Integrated Gas,17312.0,1205548.0
2025-01-15,AST-009,3.53,Corrective,Planned,Europe,Upstream,3008.0,221322.0
2025-01-15,AST-012,4.56,Preventive,Planned,Africa,Upstream,10651.0,920622.5
2025-01-15,AST-013,10.93,Preventive,Planned,North America,Upstream,44450.0,3484226.0
2025-01-15,AST-015,11.39,Corrective,Planned,North America,Integrated Gas,44646.0,3343667.0
2025-01-15,AST-018,3.13,Preventive,Planned,India,Integrated Gas,9355.0,679557.0
2025-01-15,AST-021,2.47,Turnaround,Planned,Middle East,Chemicals & Products,11028.0,875320.0
2025-01-15,AST-024,1.26,Inspection,Planned,Africa,Integrated Gas,1493.0,109449.0
2025-01-15,AST-025,24.27,Preventive,Unplanned,North America,Upstream,144820.0,10862025.0
2025-01-15,AST-028,7.97,Preventive,Planned,North America,Integrated Gas,8441.0,576325.5
2025-01-15,AST-035,14.22,Corrective,Unplanned,Africa,Upstream,76446.0,6022108.0
2025-01-15,AST-040,4.24,Inspection,Planned,Middle East,Integrated Gas,8121.0,681426.0
2025-01-15,AST-044,11.38,Corrective,Unplanned,China,Upstream,41243.0,2667095.0
2025-01-15,AST-049,1.49,Corrective,Planned,North America,Upstream,4279.0,279961.0
2025-01-15,AST-050,18.49,Corrective,Planned,North America,Upstream,10797.5,833040.5
2025-01-16,AST-002,2.99,Corrective,Planned,North America,Upstream,8781.0,572796.0
2025-01-16,AST-003,3.38,Preventive,Planned,Middle East,Upstream,14729.0,1095122.0
2025-01-16,AST-008,4.5,Preventive,Unplanned,North America,Upstream,23679.0,2013954.0
2025-01-16,AST-012,7.53,Preventive,Planned,Africa,Upstream,40143.0,3171019.0
2025-01-16,AST-014,0.69,Inspection,Planned,North America,Upstream,1155.0,84889.0
2025-01-16,AST-016,6.04,Corrective,Planned,North America,Upstream,10107.0,663115.0
2025-01-16,AST-017,4.11,Corrective,Unplanned,Middle East,Chemicals & Products,21129.0,1644685.0
2025-01-16,AST-021,9.48,Inspection,Planned,Middle East,Chemicals & Products,22838.0,1620157.0
2025-01-16,AST-024,0.99,Preventive,Planned,Africa,Integrated Gas,1450.0,95649.0
2025-01-16,AST-026,2.26,Corrective,Planned,Middle East,Upstream,15682.0,976407.0
2025-01-16,AST-030,3.58,Preventive,Planned,China,Integrated Gas,18366.0,1281974.0
2025-01-16,AST-031,1.25,Corrective,Planned,China,Integrated Gas,6125.0,438456.0
2025-01-16,AST-034,1.14,Preventive,Planned,Middle East,Upstream,1591.0,111931.0
2025-01-16,AST-036,4.2,Corrective,Planned,India,Integrated Gas,14754.0,1148187.0
2025-01-16,AST-038,10.75,Inspection,Unplanned,North America,Integrated Gas,27226.0,1789437.0
2025-01-16,AST-040,3.03,Preventive,Planned,Middle East,Integrated Gas,6833.0,521159.0
2025-01-16,AST-041,1.26,Corrective,Planned,India,Integrated Gas,7105.0,558261.0
2025-01-16,AST-042,1.11,Inspection,Planned,North America,Integrated Gas,6455.0,488489.0
2025-01-16,AST-044,2.26,Preventive,Planned,China,Upstream,7427.0,510463.0
2025-01-16,AST-047,4.3,Preventive,Planned,China,Upstream,21870.0,1721236.0
2025-01-17,AST-001,1.6,Corrective,Planned,India,Upstream,3398.0,271670.0
2025-01-17,AST-002,5.3,Corrective,Planned,North America,Upstream,14126.0,899807.0
2025-01-17,AST-003,5.3,Inspection,Planned,Middle East,Upstream,26086.0,1968562.0
2025-01-17,AST-007,4.92,Inspection,Unplanned,India,Chemicals & Products,17664.0,1400360.0
2025-01-17,AST-008,20.53,Inspection,Planned,North America,Upstream,57920.5,4489873.0
2025-01-17,AST-009,5.8,Preventive,Planned,Europe,Upstream,10186.0,751006.0
2025-01-17,AST-011,6.55,Corrective,Planned,Middle East,Upstream,11866.0,917228.0
2025-01-17,AST-013,1.97,Inspection,Planned,North America,Upstream,7118.0,542664.0
2025-01-17,AST-015,1.83,Preventive,Planned,North America,Integrated Gas,6772.0,518415.0
2025-01-17,AST-016,26.23,Corrective,Unplanned,North America,Upstream,48624.0,3118867.0
2025-01-17,AST-025,6.33,Inspection,Planned,North America,Upstream,35911.0,2433741.0
2025-01-17,AST-035,41.46,Preventive,Unplanned,Africa,Upstream,237591.0,16372788.0
2025-01-17,AST-038,4.25,Corrective,Planned,North America,Integrated Gas,10373.0,715340.0
2025-01-17,AST-043,5.28,Corrective,Planned,North America,Upstream,27027.0,2201689.0
2025-01-18,AST-003,2.48,Turnaround,Planned,Middle East,Upstream,11287.0,809305.0
2025-01-18,AST-005,4.5,Corrective,Planned,China,Integrated Gas,20164.0,1515187.0
2025-01-18,AST-008,3.11,Preventive,Planned,North America,Upstream,18273.0,1176908.0
2025-01-18,AST-010,4.19,Turnaround,Planned,India,Upstream,5155.0,353634.0
2025-01-18,AST-013,0.58,Preventive,Planned,North America,Upstream,1789.0,145847.0
2025-01-18,AST-015,4.59,Corrective,Planned,North America,Integrated Gas,16339.0,1094237.0
2025-01-18,AST-019,1.39,Preventive,Planned,Africa,Upstream,4899.0,288671.0
2025-01-18,AST-024,32.77,Corrective,Unplanned,Africa,Integrated Gas,19467.67,1411463.67
2025-01-18,AST-028,5.67,Preventive,Planned,North America,Integrated Gas,13217.0,1026644.0
2025-01-18,AST-034,20.51,Corrective,Planned,Middle East,Upstream,16150.5,1241558.5
2025-01-18,AST-035,2.96,Preventive,Planned,Africa,Upstream,21124.0,1522819.0
2025-01-18,AST-038,7.65,Inspection,Planned,North America,Integrated Gas,10259.0,751887.5
2025-01-18,AST-040,1.19,Preventive,Planned,Middle East,Integrated Gas,2143.0,140827.0
2025-01-18,AST-049,1.15,Preventive,Planned,North America,Upstream,3607.0,250985.0
2025-01-19,AST-001,12.52,Preventive,Unplanned,India,Upstream,29641.0,2142951.0
2025-01-19,AST-003,2.94,Corrective,Planned,Middle East,Upstream,13697.0,1087550.0
2025-01-19,AST-008,1.84,Preventive,Planned,North America,Upstream,10688.0,762204.0
2025-01-19,AST-009,19.65,Corrective,Unplanned,Europe,Upstream,35394.0,2762276.0
2025-01-19,AST-013,12.6,Corrective,Planned,North America,Upstream,49932.0,4074223.0
2025-01-19,AST-014,11.44,Preventive,Unplanned,North America,Upstream,23102.0,1528699.0
2025-01-19,AST-023,0.1,Preventive,Planned,Europe,Upstream,109.0,7179.0
2025-01-19,AST-028,9.07,Preventive,Planned,North America,Integrated Gas,11198.5,793669.5
2025-01-19,AST-031,2.27,Inspection,Planned,China,Integrated Gas,12799.0,1051603.0
2025-01-19,AST-036,1.01,Turnaround,Planned,India,Integrated Gas,4343.0,320823.0
2025-01-19,AST-037,2.32,Inspection,Planned,Africa,Upstream,4293.0,337456.0
2025-01-19,AST-039,4.99,Preventive,Planned,Europe,Integrated Gas,24738.0,1992850.0
2025-01-19,AST-040,6.91,Corrective,Unplanned,Middle East,Integrated Gas,14794.0,1076800.0
2025-01-19,AST-043,4.63,Preventive,Planned,North America,Upstream,18490.0,1468971.0
2025-01-19,AST-047,12.76,Turnaround,Unplanned,China,Upstream,52940.0,3848960.0
2025-01-19,AST-048,4.51,Corrective,Planned,Africa,Chemicals & Products,6815.0,545656.0
2025-01-19,AST-050,5.51,Corrective,Planned,North America,Upstream,2062.33,152485.0
2025-01-20,AST-012,7.39,Corrective,Planned,Africa,Upstream,44014.0,3479055.0
